,OrigInd,Town,Rating,Sentence,cleaned_sentences,noun_phrases,nouns,Topic
3562,7753,Arundel,4,"Steve Had an enjoyable evening with a last minute booking for their murder mystery night.
We seemed a bit in the dark on a table away from the main hub so the atmosphere wasn’t buzzing in our little area unlike the main room. However thoroughly enjoyed our 1st experience.
Food was a set menu which is fine if you like what is presented to you. (I hate olives)
The main was a little dry but all in all a great KNIGHT was had. Staff were friendly and the actors were fun during and after the event.
Would definitely return for the next one in September but I’ll book earlier to get a main table.",staff friendly actor fun event,friendly actor fun event,"['actor', 'fun', 'event']",FoodGen
3564,7755,Arundel,5,"Murder Mystery Last night we attended a medieval themed murder mystery at the Knights Table. The whole evening was great fun from start to finish. The actors, dressed up in their costumes, met you on arrival. If you didn’t come already wearing costumes they have a selection there for you to wear for the night. The actors came round throughout the evening giving us the chance to ask questions to try and get to the bottom of the murder case & work out who committed the crime. Over the evening there were 5 courses of food which were all delicious and quite varied which was great. The actors were fantastic and it was a real mystery as to who the killer was. The pub staff were all involved too and seemed to genuinely enjoy that they were doing. I would defiantly recommend a trip to Knights Table.",actor came round throughout evening giving u chance ask question try get bottom murder case work committed crime,bottom murder case work,"['bottom', 'murder', 'case', 'work']",FoodPort
3567,7758,Arundel,5,"Birthday treat Customer service was excellent, welcoming and helpful. The food was outstanding - we all had a carvery meal. Tender meat, perfectly cooked roast potatoes that tasted dare I say it - better than my nan’s! Great selection of fresh vegetables; roasted beetroot with carrots, green green beans, best cauliflower cheese I’ve had too. Loved the Chef’s Mum’s recipe of Roasted/baked leeks with parsley in butter (will be looking out a recipe for that!)Huge Yorkshire pudding, perfect gravy. Stuffing too, the full works. We will return with rest of family and will highly recommend. We might have dressed up too! ⚔️. Thank you for a great Birthday treat.",loved chef mum recipe roasted baked leek parsley butter looking recipe,chef mum recipe,"['chef', 'mum', 'recipe']",StaffGen
3570,7764,Arundel,5,"Superb value, suer tasting Roast Dinner We visited the Knights Table by chance on a Sunday , where we entered a Medieval tavern. In the back ground we could see guests dressed for the period ( so they do themed party dinners ).

We opted for the Roast Dinner , where the Chef offered recommendations, I wanted some chicken and beef ,---- well a huge piece of chicken was put on the plate and then 4 slices for most tender fully delicious beef was also added. The Yorkshire pudding came off the plate and the potatoes were really crispy .

With this dinner comes a free desert, where we did see some excellent large profiteroles -- but sadly the diner was more than plenty.

Its a fun place, the food is cooked well, and the value for money was very fair .",fun place food cooked well value money fair,value money fair,"['value', 'money', 'fair']",VFM
3578,7776,Arundel,5,Fantastic  Loved the decor and atmosphere. My 3 year old daughter loved the dress ups and the chance to sit in a throne! Have you considered kids parties?! Service was attentive and the food was really tasty. I'll be back again.,old daughter loved dress ups chance sit throne,dress ups chance,"['dress', 'ups', 'chance']",VisitExp
3586,7788,Arundel,5,"Something a bit different Visited today for the first time and it definitely won't be the last.

The Sunday carvery was good quality and plentyful. The pie I had was delicious and the chicken wings were lovely.

The restaurant itself really sets the scene and is fantastic with small children, specially since it is in the view of Arundel castle. Big carved wooden chairs, tabards and suits of armour all around. It even has a dressing up area if you really want to get in the mood for your feast (my little boy especially loved this).

The waitress we had was fantastic and really friendly.

Fantastic experience, well worth a visit if you're after something a little unusual and a hearty meal.

We will be back.",sunday carvery good quality plentiful,sunday carvery good quality plentiful,"['carvery', 'quality', 'plentiful']",FoodGen
3607,7826,Arundel,5,"Wow, foodie heaven! This was our second visit and it was every bit as good as last time. If you want to eat quality ,freshly cooked, hearty food in a light hearted medieval atmosphere, this is the place. There are regular size tables but what makes the place stand out is the booths for larger groups and the huge dining table with a throne at either end and benches with rugs which is perfect for even larger parties. Waiting staff are all friendly and they know the menu so can give recommendations. On our first visit(a saturday night) we were entertained by our waitress who broke into song here and there and the magic monk who did close up magic at the table. There is also a medieval dress up rack for those photo opportunities! Nothing is forced, if you just want to sit and enjoy great food and drink with your friends its a good place to be, however, if you want to have a bit of medieval fun the staff are on hand to help and encourage that too. This is a family run restaurant and the theme is perfect for Arundel. We will definitely visit again.l",family run restaurant theme perfect,family run restaurant theme,"['family', 'restaurant', 'theme']",MealExp
3612,7833,Bognor,4,Gluten free breakfast Me and my kids went for breakfast. Very welcoming and child friendly. Loved the fact they had gluten free bread and gluten free options. Only struggle was no halal food. Especially gluten free and halal. However that’s a difficult one to cover but it was very sweet of them to say they would look into it.,struggle halal food,struggle halal food,"['struggle', 'halal', 'food']",FoodGen
3613,7836,Bognor,4,"Hen group All had a set menu , as a hen party , food was really nice and good price . Staff were polite and efficient. Would recommend.",hen group set menu hen party food really nice good price,menu hen party food,"['menu', 'hen', 'party', 'food']",MealExp
3619,7849,Bognor,1,"Our New Year's Eve experience So we booked a table over the phone on the 30th December for a nice meal on NYE with my family for 7pm. Just 3 of us only to arrive and there not being a booking for us. However they managed to get us a table so all good.
Then we sat down ordered our drinks and poppadoms but on the table was a 5 course set menu for £22.95 per head which is all good if you can eat 5 courses and dont have kids with you.

We asked if we could order from the main menu and the guy told us that we could choose items off the menu and pay for what we have only this changed when we was about to order. They told us we could only have the 5 courses! There was no mention of this when I called and the staff were extremely rude and obnoxious. We paid up what we had and left.
We weren't the only ones. The table of 6 next to us were also Ill informed. They got told that the menu would be £14.95 per head. What a joke. I think they were about to walk too.
We should have learned from our last experience of our takeaway from the Anohka, West Meads. We had to wait an hour and a half for cold food.
They will never have us as customers again.
So disappointed.
P.s. we have been customers of the Anokha since we moved from Surrey in 2014 and until recently it has been great. Something has drastically changed and I think it's the staff and their incompetencies and rudeness",sat ordered drink poppadoms table course set menu 22.95 per head good eat course not kid,drink poppadoms table course,"['drink', 'poppadoms', 'course']",Ordering
3622,7849,Bognor,1,"Our New Year's Eve experience So we booked a table over the phone on the 30th December for a nice meal on NYE with my family for 7pm. Just 3 of us only to arrive and there not being a booking for us. However they managed to get us a table so all good.
Then we sat down ordered our drinks and poppadoms but on the table was a 5 course set menu for £22.95 per head which is all good if you can eat 5 courses and dont have kids with you.

We asked if we could order from the main menu and the guy told us that we could choose items off the menu and pay for what we have only this changed when we was about to order. They told us we could only have the 5 courses! There was no mention of this when I called and the staff were extremely rude and obnoxious. We paid up what we had and left.
We weren't the only ones. The table of 6 next to us were also Ill informed. They got told that the menu would be £14.95 per head. What a joke. I think they were about to walk too.
We should have learned from our last experience of our takeaway from the Anohka, West Meads. We had to wait an hour and a half for cold food.
They will never have us as customers again.
So disappointed.
P.s. we have been customers of the Anokha since we moved from Surrey in 2014 and until recently it has been great. Something has drastically changed and I think it's the staff and their incompetencies and rudeness",learned last experience takeaway aloha west mead,experience takeaway aloha,"['experience', 'takeaway', 'aloha']",VisitExp
3624,7851,Bognor,5,Fabulous An amazing place to eat. Food is amazing. Front of house couple are friendly and nothing is too much trouble. Would definitely recommend for a good night out.,front house couple friendly nothing much trouble,front house couple,"['front', 'house', 'couple']",StaffGen
3625,7857,Bognor,3,"Used the spiritfm voucher. Don’t think I’d return We got the voucher from spiritfm that gives you £50 of food for £25. This excludes pappadoms however.

Thought long and hard about eating here as it’s not got the magic 5 rating on the government food agency site, but in the end we decided to try it.

We didn’t get off to a great start as the first tonic water wasn’t too lively, so it went back. The second was better but whatever brand they use it certainly not Schweppes or Fever Tree!

We chose a mixture of starters and main courses.

Portion size was generous.

The big mistake I made was to order a Naga (spicy) dish but rather than lamb or chicken which was on the menu at £9, I asked for king prawn.

When the dish arrived it had exactly 4 king prawns in it, along with about a pint of Naga sauce.

I did mention this but the waiter just said “they are king prawns and it’s not on the menu”.

I also chose garlic naan. It came literally dripping with garlic sauce (or melted garlic butter), I poured it off but it was just about inedible.

The rest of the food was ok. King prawn balti (with a sensible number of prawns!). Plus quite a few veg dishes that were also ok.

The bill arrived and my 4 prawn dish had cost a whopping £14. Again I moaned but they just shrugged their shoulders.

Left pretty disgusted, and wouldn’t go back there I’m afraid. A combination of being ripped off on the prawns and a bad attitude were enough to convince me it’s best avoided.",thought long hard eating not got magic rating government food agency site end decided try,government food agency site end,"['government', 'food', 'agency', 'site', 'end']",FoodGen
3645,7895,Littlehampton,4,"Lovely Food - bit pricy We had dinner here one night as was only a 5 minute walk from our holiday house, it was lovely food & service, however the prices were rather steep!
I would recommend, just beware it will be an expensive night",lovely food bit pricy dinner one night minute walk holiday house lovely food service however price rather steep,night minute walk holiday house,"['night', 'minute', 'walk', 'holiday', 'house']",Booking&Table
3647,7901,Littlehampton,5,"Dinner with friends We had heard that the Penang was very good & had not been there before so we decided to try it...we were not disappointed.....a family run business with attention to friendly efficient hospitality & fabulous food....we chose 2 set meals for 2...all delicious especially the crispy duck & Mongolian lamb after soup & hors d’oeuvres....followed by more delicious main dishes...all superbly cooked & presented...the wine was reasonably priced...white & red....we left full, happy & making the decision to visit again very soon",dinner friend heard opening good not decided try ifwe not disappointed family run business attention friendly efficient hospitality fabulous foodie chose set meal all delicious especially crispy duck mongolian lamb soup hors oeuvresfollowed delicious main dishesall superbly cooked presenteth wine reasonably pricedwhite red left full happy making decision visit soon,crispy duck mongolian lamb soup hors,"['duck', 'lamb', 'soup', 'hors']",FoodPort
3651,7909,Arundel,5,"5 star Indian food What a lovely place to go for an Indian meal. They do take away & delivery so no excuse to miss out.
We’re big fans of curry, this did not disappoint. Great service, great menu, & fabulous food! The flavours are something else. All freshly cooked (so you do have a wait early on) & you can tell it’s fresh.
I’ve never had chicken so succulent & tasty, I had chicken tikka, others in the group had a madras, korma, garlic chicken & a prawn balti. Every one of the dishes were divine.
Do suggest you book as gets very busy.
Ps - Good wine/drinks menu too, going back again next week.",i good wine drink menu going back next week,i good wine drink menu,"['wine', 'drink', 'menu']",Ordering
3652,7911,Arundel,4,"Review Update for the Better... I reviewed this restaurant in 2015. It was very good then. It has recently been taken over but retains it's name and most of its original menu. The food choice and quality is still very good and the service has improved from 2018 (prior to the change of ownership). My wife & I still dine here or take away on a fairly regular basis. Their new system allows bookings and orders to be made on line as well as by telephone plus discounts for collected take-aways of parties of 8 or more guests. On this occasion I took my family and we were all content with the whole experience; food choice, quality, drinks and service. I can recommend the Tajdar Special which has 2 full chicken breasts in a very tasty sauce that is not too hot, plus the accompaniments of course.
I'm sure it will continue to improve although there is little room for it to get too much better than it is now.",new system allows booking order made line well telephone plus discount collected takeaways party guest,takeaways party guest,"['takeaways', 'party', 'guest']",MealExp
3653,7911,Arundel,4,"Review Update for the Better... I reviewed this restaurant in 2015. It was very good then. It has recently been taken over but retains it's name and most of its original menu. The food choice and quality is still very good and the service has improved from 2018 (prior to the change of ownership). My wife & I still dine here or take away on a fairly regular basis. Their new system allows bookings and orders to be made on line as well as by telephone plus discounts for collected take-aways of parties of 8 or more guests. On this occasion I took my family and we were all content with the whole experience; food choice, quality, drinks and service. I can recommend the Tajdar Special which has 2 full chicken breasts in a very tasty sauce that is not too hot, plus the accompaniments of course.
I'm sure it will continue to improve although there is little room for it to get too much better than it is now.",occasion took family content whole experience food choice quality drink service,whole experience food choice quality drink service,"['experience', 'food', 'choice', 'quality', 'service']",Quality
3654,7912,Arundel,3,"Service excellent but unimpressive bland food We enjoy authentic curry dishes but were very disappointed at the quality of food served, but didn't have the heart to complain as the service was good. We were told Tajdar is under new management, but perhaps the menu also needs a makeover. Tasteless chicken in bland sauce with little flavour. The only thing we really enjoyed was the draught Indian beer. We will not return.",service excellent unimpressive bland food enjoy authentic curry dish disappointed quality food served not heart complain service good,heart complain service good,"['heart', 'complain', 'service']",Service
3655,7913,Arundel,1,"Very poor On arrival ordered drinks to get a warm lemonade which was flat and poppadoms were stale , food order was taken at 5:45. An hour later still no food and staff were poor and didn’t seem to care , so we left.
Wouldn’t recommend it",poor arrival ordered drink get warm lemonade flat poppadoms stale food order taken 5:45,warm lemonade flat poppadoms stale food order,"['lemonade', 'poppadoms', 'food', 'order']",Ordering
3665,7934,Bognor,1,tasteless 6 of us had a meal the service was terrible the food was just tasteless sloppy and nothing like proper indian cuisine the bombay potatoes were just boiled with a dash of tomatoe on them the sharing platter well was laughable at the cost of 9 pounds we will not be returning !!!!!!!!!!,tasteless u meal service terrible food tasteless sloppy nothing like proper indian cuisine bombay potato boiled dash tomato sharing platter well laughable cost pound not returning,tasteless u meal service terrible food tasteless sloppy,"['meal', 'service', 'food', 'tasteless', 'sloppy']",Service
3671,7952,Bognor,3,"Pretty decent food if you don't mind the wait I have eaten here a quite a few times now. The food is pretty good but is invariably let down by incredibly slow, albeit very polite, service. The Monday banquet deal is very good value and the restaurant and toilets and kitchen all look very clean. This place could be great with a few minor improvements to service.",monday banquet deal good value restaurant toilet kitchen look clean,good value restaurant toilet kitchen look,"['value', 'restaurant', 'toilet', 'look']",VFM
3672,7953,Bognor,2,"When to say No! Went last night. Banquet Night - discounted night.
Arrived on time.
Car park full. Restaurant full it seemed.
Dropped fellow guests and went to park.
Arrived to find we are parked in the lobby.
Wait and wait.
Enquire about table - “it is being prepared”.
After 15 minutes - “it is being prepared”.
Is there a table? “Did you make a booking?”
Book showed we are one of three bookings - clearly our table has been given away.
Offer to have take-away. “No”.
Get to table at last. No one to take order.
Eventually food arrives - but our main courses. Where are our starters?
Hopefully you get the picture - chaos!
We did start to eat eventually. However allowing all the guests to arrive at the same time is asking for trouble. Of course the kitchen and the waiters can’t cope.
It would have been so simple to have said “No, we have no table reserved for you. No, we can’t serve you very soon, No, you will have to wait and No we can’t serve a takeaway as the kitchen is unable to cope.
We would have gone somewhere else but returned on another day.
The food is good, the waiter was sorry and able to laugh with us and was appologetic.
Will we ever go again - No we will not. There are other restaurants that don’t provide chaos as an additional side-dish!
Not a good use of Banquet Night as a promotional tool.",course kitchen waiter not cope,course kitchen waiter,"['course', 'kitchen', 'waiter']",StaffGen
3678,7959,Littlehampton,4,"Lovely atmosphere  This was our first visit to the empress bar. We went in particular to see the live band that were playing. We decided to eat here as well. On arrival we were shown to our table and were told that food was a little slow coming out as there was a new chef & new menu. This was really not a problem for us as we were intending to stay for the evening anyway. The only disappointing thing about the whole evening was the menu. The only thing on the evening menu that is not spicy is fish & chips. Although this was excellent, it’s not somewhere you could go regularly to eat if like me you don’t like spicy food. This said the daytime menu looked very good.",thing evening menu not spicy fish chip,spicy fish chip,"['spicy', 'fish', 'chip']",Quality
3689,7983,Bognor,1,Cold Coffee I was at Bognor Regis for a business and I had 15 mins spare. As I was rushing I ordered latte to take away and it was cold by the time I walk to my car. I would have taken it back but I didn’t have time.,cold coffee business min spare,cold coffee business min,"['coffee', 'business', 'min']",VisitExp
3691,7986,Bognor,5,"Afternoon treat This is a favourite place for afternoon tea or coffee and snack. The cakes are out of this world, made by the the wonderful staff who provide great and friendly service. The lovely teapots and china add to the traditional ambience in the cafe. A great place to relax!",afternoon treat favourite place afternoon tea coffee snack,favourite place afternoon tea coffee snack,"['place', 'afternoon', 'tea', 'coffee', 'snack']",Ordering
3694,7992,Littlehampton,5,"Book Early, Ask About Specials & Enjoy We’ve been all over the World and we didn’t expect to find this hidden gem less that 10 miles away.

One of the friendliest restaurants we’ve been over the last few years, run by a local family and with food that matches the service.

Fairly priced and reasonable selection of wines, good location, comprehensive range of Sardinian produced mains which you’d want to try all.

Tip; book early, ask for what’s the favourite of the week, be courteous, leave a tip.

We will be heading back soon for their themed nights.

",one friendliest restaurant last year run local family food match service,year run local family food,"['year', 'family', 'food']",VisitExp
3703,8004,Littlehampton,5,"Far exceeded my expectations We were a party of four lunching here today for the first time. We all thought it was truly excellent.
For a starter I had calamari - the best I can remember - cooked in a light fresh batter. If you've been shunning this dish of late because it always tastes and feels like tough rubber, then please give it another chance here. It was faultless. To follow I chose the fish of the day - a fillet of sea bass. It was perfectly cooked and served on a bed of french beans and asparagus. Upon request a few saute potatoes were added to augment the dish. For pudding I had one of three homemade fruit pies on offer, served with ice cream or cream. To accompany the fish I had a glass of Sicilian dry white wine., which had lots of flavour and no harshness.
All-in-all it was a fabulous, tasty meal - leaving one feel nicely fed but not stuffed - and all for a very reasonable price. The quality of the cuisine could have come from a kitchen charging 50% more - if indeed you can find it.
Why the restaurant wasn't bursting at the seams, I really cannot understand. It deserves to be rammed. I hope to return soon.",pudding one three homemade fruit pie offer served ice cream cream,homemade fruit pie,"['homemade', 'fruit', 'pie']",Choice
3704,8005,Littlehampton,5,Passing and fancied and Italian  Was passing through the village and spotted this tiny Italian restaurant. It is like having dinner in the front lounge of an Italian family. Service was wonderful and informal and the chefs son who is also front of house was confident and very relaxed with first class service. Food was first class and very homely and full of flavour. Wonderful wonderful wonderful,like dinner front lounge italian family,dinner front lounge italian family,"['dinner', 'lounge', 'family']",VisitExp
3711,8013,Littlehampton,5,"Had a brlliant evening! We celebrated my wife's birthday with over 20 of us gathered around the table and we had a fantastic evening!
The food was top quality, the service was amazing, all the staff worked really hard and were successful in making it a memorable celebration. Nothing was too much trouble for them
There was a lovely atmosphere as soon as we walked in and continued until we left. If we could turn the clock back would we change anything? Absolutely not!",food top quality service amazing staff worked really hard successful making memorable celebration,food top quality service,"['food', 'quality', 'service']",Quality
3712,8016,Bognor,2,"Pre Xmas family meal We were booked for 1pm lunch 7 adults and 4 children told on seating that they had run out of Turkey! Whilst ordering the majority wanted chicken as an alternative and the person taking our order then had to then check levels of chicken (kids got thigh meat instead of breasts).
On arrival of the food we were dismayed at the lack of veg 4 small sprouts each 2/slithers of carrots and the same of parsnips and some peas (one plate had no carrots, 2 missing peas) no stuffing as there was no turkey and a Yorkshire pudding that looked like a pancake!
This was our 4 year going to the bear as a family previous years have been amazing and we were left full and satisfied this year.... well McDonald's on the way home me thinks!
TOTALLY DISSATISFIED!",pre christmas family meal booked lunch adult child told seating run turkey,pre christmas family meal,"['pre', 'christmas', 'family', 'meal']",MealExp
3713,8016,Bognor,2,"Pre Xmas family meal We were booked for 1pm lunch 7 adults and 4 children told on seating that they had run out of Turkey! Whilst ordering the majority wanted chicken as an alternative and the person taking our order then had to then check levels of chicken (kids got thigh meat instead of breasts).
On arrival of the food we were dismayed at the lack of veg 4 small sprouts each 2/slithers of carrots and the same of parsnips and some peas (one plate had no carrots, 2 missing peas) no stuffing as there was no turkey and a Yorkshire pudding that looked like a pancake!
This was our 4 year going to the bear as a family previous years have been amazing and we were left full and satisfied this year.... well McDonald's on the way home me thinks!
TOTALLY DISSATISFIED!",whilst ordering majority wanted chicken alternative person taking order check level chicken kid got thigh meat instead breast,order check level chicken kid,"['order', 'check', 'level', 'chicken', 'kid']",MealExp
3717,8029,Bognor,5,"Excellent experience for me, my wife and our 2yo boy We were looking for somewhere near Pagham to eat out with our little boy (<2) - he was tired and we needed somewhere we felt comfortable should he decide not to cooperate. As we were staying in area, we didn't know where to go and having read a few reviews, we decided to give The Bear Inn a try.

This turned out to be a very good decision on all fronts:

1- we were very well received and made to feel very welcome, even with our grumpy boy
2- the pub is fairly old school. But the restaurant part is very nice, plenty of space and comfortable
3- the staff were very friendly and helpful
4- the food was all very nice and freshly prepared - tasted organic
5- the ale was excellent, a perfect pint of Bombardier
6- excellent value for money

I would highly recommend and would definitely eat here again if I return to the area.",restaurant part nice plenty space comfortablestaff friendly helpfulfood nice freshly prepared tasted organicale excellent perfect pint bombardierexcellent value money would highly recommend would definitely eat return area,nice plenty space comfortablestaff,"['plenty', 'space', 'comfortablestaff']",Booking&Table
3723,8038,Arundel,3,"Good service,poor produce Had a meal here with friends, trout was the best I’ve ever had and perfectly cooked , however the steak and kidney pudding was a joke, hardly any meat and just stodgy, and the pate bland. Will visit again but stick to the trout.",good service poor produce meal friend trout best I ever perfectly cooked however steak kidney pudding joke hardly meat stodgy pate bland,meal friend trout,"['meal', 'friend', 'trout']",MealExp
3740,8063,Bognor,2,"Poor quality and value Oh dear. Meal for 6 in the Tamarisk restaurant. £241 bill and still hungry. Personally I had a crab starter.....£8 and I could have eaten the whole thing in one mouthful. Weird vaguely crabby mousse on a bed of something sweet. No bread served with it. (Did get some sliced, very dry bread while waiting for food and had to ask for more) main course of seafood linguine. So easy to make! This was a pile of overcooked tagliatelle in a thick creamy sauce that tasted horribly like my partners creamy mushroom soup starter. No white wine or garlic here. Then to dessert. It looked lovely...and the sorbet was, but the tart was straight from the fridge, hard and stodgy.....5 mins in an oven and it would have been so much better. Such a disappointment and an expensive one at that.",meal tamarisk restaurant,meal tamarisk restaurant,"['meal', 'tamarisk', 'restaurant']",MealExp
3744,8073,Bognor,5,"Funeral wake booked here. A really delightful 'High Tea'! Following a family funeral, The Beachcroft was the wake venue. We were greeted by the main door and shown to the room by a friendly member of staff, as were ALL the guests. The High Tea supplied was delicious and plentiful, with imaginative fillings and accompanied by scones, jam and cream! All staff were pleasant, friendly and helpful. Much appreciated!",following family funeral beachfront wake venue,family funeral beachfront wake venue,"['family', 'wake', 'venue']",VFM
3745,8073,Bognor,5,"Funeral wake booked here. A really delightful 'High Tea'! Following a family funeral, The Beachcroft was the wake venue. We were greeted by the main door and shown to the room by a friendly member of staff, as were ALL the guests. The High Tea supplied was delicious and plentiful, with imaginative fillings and accompanied by scones, jam and cream! All staff were pleasant, friendly and helpful. Much appreciated!",greeted main door shown room friendly member staff guest,friendly member staff guest,"['member', 'staff', 'guest']",StaffGen
3747,8075,Bognor,5,"Celebration meal Had a lunch party of about 20.
Service was very good and friendly. We had pre ordered our food, it was tasty and hot. Pudding was very good too.",celebration meal lunch party,celebration meal lunch party,"['celebration', 'meal', 'lunch', 'party']",MealExp
3753,8083,Littlehampton,1,"Rude Staff First visit and last Visit. Tool waiter with deep voice , was taking the piss out of me when i order a Chicken Korma, apparently it is woman food he said. Also said : Get a proper man food. Before you visit this place find out what is man food!!!! Disrespectful a no apologies. Owner hope you keep employing staff like that . Well done! Tables cloth dirty, carpet dirty. Wondering how is kitchen looks like ?",tool waiter deep voice taking piss order chicken korma apparently woman food said,piss order chicken korma,"['order', 'chicken', 'korma']",Ordering
3758,8085,Littlehampton,5,"Tucked away Gem Hiddeen away in a faceless parade of shops, behind the East Preston in West Susex railway crossing, lies a rather nice and enjoyable gem of the Bengal Tandoori Restaurant. After the last Indian Restaurant I reviewed, The Magna in Bognor Regis, what a joy it was to have found this Restaurant. A bevy of happy Waiters fluttering about the space, with a purpose in mind, to make sure that their Customers enjoy themselves. The food was quite excellent, both meat dishes and Vegetarian. The portion size is magnanimous and the prices are easily affordable. On the evening we went it was very busy, but not noisy and many of the Customers appeared to be returning visitors, a really good sign with any Restaurant. We will definately be back and taking some friends with us.",bevy happy waiter fluttering space purpose mind make sure customer enjoy,space purpose mind,"['space', 'purpose', 'mind']",FoodGen
3759,8085,Littlehampton,5,"Tucked away Gem Hiddeen away in a faceless parade of shops, behind the East Preston in West Susex railway crossing, lies a rather nice and enjoyable gem of the Bengal Tandoori Restaurant. After the last Indian Restaurant I reviewed, The Magna in Bognor Regis, what a joy it was to have found this Restaurant. A bevy of happy Waiters fluttering about the space, with a purpose in mind, to make sure that their Customers enjoy themselves. The food was quite excellent, both meat dishes and Vegetarian. The portion size is magnanimous and the prices are easily affordable. On the evening we went it was very busy, but not noisy and many of the Customers appeared to be returning visitors, a really good sign with any Restaurant. We will definately be back and taking some friends with us.",portion size magnanimous price easily affordable,portion size magnanimous price,"['portion', 'size', 'price']",FoodPort
3764,8090,Bognor,1,Disaster meal Well. What can I say? Visited here tonight for a meal with friends. Friday night should really be buzzing in a pub surely? Nope. We were the only table dining in this sad dilapidated excuse for a pub eatery. There actually was more bar staff than customers the whole time we were there. The spag Bol was tasteless (how can any chef get this basic dish so badly wrong) mash pots were lumpy and cold. Waitress didn’t even listen to what was asked to leave off a dish. Veal escalope on the specials board was dry and like rubber. The lamb shank was tough and didn’t fall off bone like it should. I could go on but can’t be bothered. Just like their chef and waiting staff. Only saving grace was the desserts which were actually edible. Will not return,spag bol tasteless chef get basic dish badly wrong mash pot lumpy cold,wrong mash pot lumpy,"['mash', 'pot', 'lumpy']",FoodPort
3768,8104,Bognor,3,"Nice pint of London Pride Popped in for a pint in the garden. Very sociable friendly owner - slightly frazzled after a busy weekend! Had we had more time I am sure we would h ave stayed longer. First thing we were told was ""no food until Thursday"" so that was crystal clear! Seemed a ""proper"" little pub with bags of character so will return some day - probably a weekend as the food reviews from other site users sound really good.",nice pint london pride popped pint garden,nice pint london pride,"['pint', 'london', 'pride']",VisitExp
3769,8105,Bognor,5,Wow new menu  Popped in for a quick snack at 3pm on a Saturday and was informed that a new menu was running. Myself and sister didn’t want anything fussy so opted for a basket meal of scampi and chips. At £4.95 it is excellent value and plentiful. We sat out in the lovely garden and thoroughly enjoyed it. Looking forward to coming back and sampling some more dishes soon.,sister not want anything fussy opted basket meal scampi chip,basket meal scampi chip,"['basket', 'meal', 'scampi', 'chip']",MealExp
3775,8119,Bognor,5,"Lovely little cafe Ate here for lunch on a Saturday. What a lovely little cafe, a great menu choice, friendly and efficient staff and good value for money. Would highly recommend it.",lovely little cafe great menu choice friendly efficient staff good value money,friendly efficient staff good value money,"['staff', 'value', 'money']",VFM
3778,8122,Bognor,5,"When your mate is struggling to cook breakfast, this is the place to go! Recently stayed at the Butlins Holiday park with a group of friends for one of their Adult Weekends and had the pleasure of visiting this cafe, after our designated chef decided to spend 40minutes trying to get the cooker to work, then getting the grill pan so hot that he ended up juggling the pan and the hot sausages placed in the pan until they fell on the floor. Luckily this Cafe is blessed with what I would consider to be a more capable and reliable kitchen staff that will cater for your every delight, whilst not spending over an hour only to provide partly cooked dirty sausages for your delicacy.

The cafe offers a range of breakfasts to suit every budget, our groups favourite is the Pagham, which is absolutely fantastic value and is becoming nationally renowned due to its popularity and value. Having previously visited other local establishments for breakfast such as the Regis, this cafe can be considered far superior. Genuinely they cannot do enough for you. (This was put to the test by one of our group, Freddie, who has a significant love of toast and ordered 10 additional pieces which duely came, piping hot and with enough butter to remain palletable.

Thank you once again clock tower, fantastic food, fantastic service and antastic value.

Our chef is now sacked and we do not allow him to go any where near sausages, or bacon or even cereal....",previously visited local establishment breakfast cafe considered far superior,local establishment breakfast cafe,"['establishment', 'breakfast', 'cafe']",VisitExp
3789,8144,Bognor,1,"Disgusting overpriced and rude I’m not normally one for bad reviews but my experience here today was more than disappointing. The chips were awful, the service was rude and the price!!!!!!! £29 for 3 chips with sausages and 3 cokes. When I complained the man just said, not my problem, I just work here, snatched my money out of my hand and walked off. I will not be going here again. Ever.",chip awful service rude price,chip awful service rude price,"['chip', 'service', 'rude', 'price']",Service
3793,8148,Bognor,1,Food hygiene? What food hygiene? So visiting relatives we took our daughter for a visit to the seafront and wanted to have traditional fish and chips! This was the closest and I wish I’d checked TA first! My partner and I shared a fish and chips due to the cost and our daughter had sausage in batter and chips. We asked for bread to make a chip butty. The bread arrived with the crusts cut off which we thought odd but then realised the bread was stale. I asked for replacement bread and when the cook held up the bread with bare hands )he didn’t look the cleanest) it was green all down the side we could see. Disgusted we said forget the bread. When we paid we expressed our dissatisfaction but were still charged full price! We now all feel sick! Avoid. This place needs FSA to investigate.,visiting relative took daughter visit seafront wanted traditional fish chip,daughter visit seafront,"['daughter', 'visit', 'seafront']",VisitExp
3805,8170,Bognor,1,Thoroughly disappointed Was exited to have seaside fish and chips but was very disappointed by the lack of quality. The chips were overpriced and tasted like they were from a tacky take-away. Batter was soggy on the fish. Could have got better quality fish & chips in land. In my opinion the worst fish & chips I’ve ever had and I would certainly not recommend. Ruined my lunch on the beach.,could got better quality fish chip land,quality fish chip land,"['quality', 'chip', 'land']",Quality
3810,8177,Bognor,5,"EMILY IS A SUPER COOK! Emily has surpassed herself today with her delicious turkey pie. Mouthwatering turkey, scrumptious pigs in blankets and tasty stuffing all encased in super pastry, served with generous portions of fresh vegetables and gravy. I urge you to try it if you have the chance!",mouthwatering turkey scrumptious pig blanket tasty stuffing encased super pastry served generous portion fresh vegetable gravy,turkey scrumptious pig blanket tasty,"['pig', 'blanket', 'tasty']",FoodPort
